28/02/2024 10:58:53 - 0138:	 - train_loss: 0.469690:	 - test_loss: 0.602695:	 mIoU 0.5380
28/02/2024 10:59:24 - 0139:	 - train_loss: 0.470138:	 - test_loss: 0.599941:	 mIoU 0.5395
28/02/2024 10:59:55 - 0140:	 - train_loss: 0.459463:	 - test_loss: 0.600645:	 mIoU 0.5411
28/02/2024 11:00:26 - 0141:	 - train_loss: 0.463048:	 - test_loss: 0.599505:	 mIoU 0.5364
28/02/2024 11:00:57 - 0142:	 - train_loss: 0.470603:	 - test_loss: 0.600576:	 mIoU 0.5446
28/02/2024 11:01:28 - 0143:	 - train_loss: 0.461952:	 - test_loss: 0.600917:	 mIoU 0.5387
28/02/2024 11:01:59 - 0144:	 - train_loss: 0.473362:	 - test_loss: 0.600197:	 mIoU 0.5363
28/02/2024 11:02:29 - 0145:	 - train_loss: 0.456350:	 - test_loss: 0.605083:	 mIoU 0.5305
28/02/2024 11:03:00 - 0146:	 - train_loss: 0.464669:	 - test_loss: 0.604020:	 mIoU 0.5275
28/02/2024 11:03:31 - 0147:	 - train_loss: 0.476053:	 - test_loss: 0.596222:	 mIoU 0.5434
28/02/2024 11:04:02 - 0148:	 - train_loss: 0.466665:	 - test_loss: 0.594845:	 mIoU 0.5429
28/02/2024 11:04:33 - 0149:	 - train_loss: 0.459025:	 - test_loss: 0.598683:	 mIoU 0.5441
28/02/2024 11:05:04 - 0150:	 - train_loss: 0.462690:	 - test_loss: 0.590946:	 mIoU 0.5498
28/02/2024 11:05:34 - 0151:	 - train_loss: 0.451241:	 - test_loss: 0.594727:	 mIoU 0.5531
28/02/2024 11:06:05 - 0152:	 - train_loss: 0.460840:	 - test_loss: 0.594728:	 mIoU 0.5509
28/02/2024 11:06:36 - 0153:	 - train_loss: 0.450253:	 - test_loss: 0.596768:	 mIoU 0.5451
28/02/2024 11:07:07 - 0154:	 - train_loss: 0.468749:	 - test_loss: 0.596506:	 mIoU 0.5480
28/02/2024 11:07:38 - 0155:	 - train_loss: 0.474389:	 - test_loss: 0.596846:	 mIoU 0.5443
28/02/2024 11:08:09 - 0156:	 - train_loss: 0.468724:	 - test_loss: 0.598996:	 mIoU 0.5434
28/02/2024 11:08:39 - 0157:	 - train_loss: 0.453280:	 - test_loss: 0.598617:	 mIoU 0.5413
28/02/2024 11:09:10 - 0158:	 - train_loss: 0.462600:	 - test_loss: 0.608039:	 mIoU 0.5282
28/02/2024 11:09:41 - 0159:	 - train_loss: 0.464001:	 - test_loss: 0.601150:	 mIoU 0.5410
28/02/2024 11:10:12 - 0160:	 - train_loss: 0.466120:	 - test_loss: 0.598596:	 mIoU 0.5445
28/02/2024 11:10:43 - 0161:	 - train_loss: 0.468313:	 - test_loss: 0.597236:	 mIoU 0.5446
28/02/2024 11:11:14 - 0162:	 - train_loss: 0.459321:	 - test_loss: 0.598841:	 mIoU 0.5375
28/02/2024 11:11:45 - 0163:	 - train_loss: 0.466808:	 - test_loss: 0.601748:	 mIoU 0.5417
28/02/2024 11:12:15 - 0164:	 - train_loss: 0.476650:	 - test_loss: 0.593491:	 mIoU 0.5404
28/02/2024 11:12:46 - 0165:	 - train_loss: 0.466329:	 - test_loss: 0.604952:	 mIoU 0.5227
28/02/2024 11:13:17 - 0166:	 - train_loss: 0.464477:	 - test_loss: 0.599577:	 mIoU 0.5297
28/02/2024 11:13:48 - 0167:	 - train_loss: 0.461663:	 - test_loss: 0.596791:	 mIoU 0.5521
28/02/2024 11:14:19 - 0168:	 - train_loss: 0.472111:	 - test_loss: 0.600413:	 mIoU 0.5292
28/02/2024 11:14:50 - 0169:	 - train_loss: 0.460132:	 - test_loss: 0.597011:	 mIoU 0.5356
28/02/2024 11:15:21 - 0170:	 - train_loss: 0.465647:	 - test_loss: 0.601445:	 mIoU 0.5308
28/02/2024 11:15:51 - 0171:	 - train_loss: 0.467220:	 - test_loss: 0.595961:	 mIoU 0.5432
28/02/2024 11:16:22 - 0172:	 - train_loss: 0.461245:	 - test_loss: 0.596630:	 mIoU 0.5436
28/02/2024 11:16:53 - 0173:	 - train_loss: 0.451628:	 - test_loss: 0.593899:	 mIoU 0.5430
28/02/2024 11:17:24 - 0174:	 - train_loss: 0.446406:	 - test_loss: 0.600987:	 mIoU 0.5301
28/02/2024 11:17:54 - 0175:	 - train_loss: 0.460376:	 - test_loss: 0.597106:	 mIoU 0.5423
28/02/2024 11:18:25 - 0176:	 - train_loss: 0.460408:	 - test_loss: 0.601583:	 mIoU 0.5390
28/02/2024 11:18:56 - 0177:	 - train_loss: 0.458735:	 - test_loss: 0.607944:	 mIoU 0.5332
28/02/2024 11:19:26 - 0178:	 - train_loss: 0.463034:	 - test_loss: 0.604976:	 mIoU 0.5427
28/02/2024 11:19:57 - 0179:	 - train_loss: 0.459953:	 - test_loss: 0.603112:	 mIoU 0.5443
28/02/2024 11:20:28 - 0180:	 - train_loss: 0.454104:	 - test_loss: 0.603377:	 mIoU 0.5376
28/02/2024 11:20:59 - 0181:	 - train_loss: 0.464376:	 - test_loss: 0.603171:	 mIoU 0.5403
28/02/2024 11:21:30 - 0182:	 - train_loss: 0.444107:	 - test_loss: 0.600684:	 mIoU 0.5410
28/02/2024 11:22:00 - 0183:	 - train_loss: 0.457429:	 - test_loss: 0.602998:	 mIoU 0.5411
28/02/2024 11:22:31 - 0184:	 - train_loss: 0.462492:	 - test_loss: 0.596487:	 mIoU 0.5439
28/02/2024 11:23:02 - 0185:	 - train_loss: 0.455717:	 - test_loss: 0.603685:	 mIoU 0.5356
28/02/2024 11:23:32 - 0186:	 - train_loss: 0.451151:	 - test_loss: 0.597317:	 mIoU 0.5446
28/02/2024 11:24:03 - 0187:	 - train_loss: 0.453735:	 - test_loss: 0.596821:	 mIoU 0.5473
28/02/2024 11:24:34 - 0188:	 - train_loss: 0.453208:	 - test_loss: 0.592202:	 mIoU 0.5514
28/02/2024 11:25:05 - 0189:	 - train_loss: 0.446111:	 - test_loss: 0.594657:	 mIoU 0.5422
28/02/2024 11:25:35 - 0190:	 - train_loss: 0.464206:	 - test_loss: 0.593907:	 mIoU 0.5391
28/02/2024 11:26:06 - 0191:	 - train_loss: 0.456036:	 - test_loss: 0.598366:	 mIoU 0.5407
